X,seed_kras,seed_nras,seed_hras,uniprotswissprot
TCF25,3.34194885496136,3.21203425458843,2.42190786446972,Q9BQ70
HID1,3.31966208441567,-3.19151613701867,2.41284870082962,Q8IV36
ANKMY1,3.31951425976116,3.19039953853518,2.41077792942345,Q9P2S6
SLC46A1,-3.31309072314047,3.19022401894897,2.40589006656702,Q96NT5
CGB5,3.3094729462179,3.1819408963197,-2.39860742101128,P0DN86
ATOH1,3.30520261617598,-3.17726458181917,2.39692980441294,Q92858
HOXB2,3.29852324898727,3.17663404224865,2.38663389374097,P14652
TEFM,-3.27680854048299,-3.1609809411777,-2.36436594329785,Q96QE5
OR5AR1,3.25903132626436,3.15985665113128,-2.36191349105161,Q8NGP9
SPDYE1,-3.24917245728649,3.15556314276332,2.35871863604414,Q8NFV5
PHLDA2,3.24062478734203,3.15131376856687,2.3579857580956,Q53GA4
TCN1,3.22771922295142,3.13677308931629,2.34511358145508,P20061
PTP4A1,-3.22629629667993,3.13257597306534,2.33453930763589,Q93096
FBXL8,3.22589527135617,3.12922235462162,-2.32585073981505,Q96CD0
VDR,3.22072828844943,3.12672827133265,-2.32135069606467,P11473
SPINT1,3.22029294071113,-3.12406502514964,2.32110055134292,O43278
NSMCE2,-3.21821246657757,3.11562911533862,-2.31756549060941,Q96MF7
CACNB3,3.1802993941437,3.09809011494578,2.30450976835784,P54284
FAIM2,3.17078424437731,-3.0897206646103,-2.30376375152808,Q9BWQ8
TMPRSS3,3.16774214257167,3.06702287433196,2.2869441323085,P57727
PPP1R36,3.16370947406679,-3.06652201766305,2.28682328355896,Q96LQ0
CCDC142,-3.15733445521555,3.05581130134164,2.2792960761273,Q17RM4
PLEKHS1,3.13915689315968,3.04047702734596,2.26219527340873,Q5SXH7
TMEM231,3.13874128583409,-3.03988200549857,-2.26059499412807,Q9H6L2
TSPAN3,3.12154076484633,-3.03031746169911,2.25700397654439,O60637
ALDH3B1,3.11608047221436,3.02267456639363,2.23495570508614,P43353
DPM1,-3.11205091881151,3.0169495471361,-2.23069610981307,O60762
GINS1,-3.09099330219638,2.97748371561206,2.19086554483175,Q14691
ZNF736,-3.09049383958239,-2.97442536686906,2.19056865110775,B4DX44
OSBPL5,3.0804868288122,2.96934035657079,-2.18131865083681,Q9H0X9
TM4SF4,3.0727266404768,2.96435881001282,2.16667210002988,P48230
HK1,3.05789204781008,2.9605815235598,2.1539722585386,P19367
CANT1,3.05147778499856,2.94363491667705,2.14582852293768,Q8WVQ1
ETV5,3.03552977187891,2.93192944529315,2.1386951449878,P41161
C20orf144,-3.03456142262272,-2.92756028984239,2.13459841047922,Q9BQM9
ARID3A,-3.02593453015592,2.92544327115115,2.13012451225087,Q99856
PHC2,3.02463994765269,2.92379801879969,-2.12862165928011,Q8IXK0
SLC27A1,2.99945464655451,2.91459093835967,2.1116926620257,Q6PCB7
OSBPL7,2.97376135552705,2.90097664837453,-2.08952405400537,Q9BZF2
CDS2,-2.95242011385472,2.89654512368995,2.08203056972329,O95674
SLC37A1,2.94472067987261,-2.88075153914577,2.07600424255887,P57057
ANKRD49,-2.94331101205681,2.86882199467538,-2.07592870604769,Q8WVL7
PLA2G12B,-2.94214292909869,2.86624248474983,-2.07496433465263,Q9BX93
MVP,2.94065487990014,2.86570347021613,2.06390199375947,Q14764
CSE1L,-2.92742317388509,2.86032053959617,2.05790125134276,P55060
FHL2,2.9263252359646,2.85212475344906,-2.05681978629628,Q14192
OTOP2,-2.91829638421355,2.83985978709105,-2.05379755212875,Q7RTS6
MRPL49,-2.89806711732309,2.82779363556193,2.05125762305179,Q13405
GALNT7,2.89742753086634,-2.82576340545876,-2.04821272371402,Q86SF2
ITGA3,2.89394101432064,-2.82212778143605,2.03768841081547,P26006
TMEM63A,2.88767277456343,2.82121985492302,2.03216219141532,O94886
SBNO2,2.88132946475616,2.81199057221683,2.01806989895918,Q9Y2G9
UCN3,2.8757160525079,2.80733605164919,-2.01018572790663,Q969E3
CFL2,-2.87302079155253,2.80710887705717,2.01018474367361,Q9Y281
STYK1,2.87244542302545,-2.80348753263857,2.00409013205798,Q6J9G0
TAAR1,2.87134044433102,-2.80287740117262,2.00327090977648,Q96RJ0
VSIG1,2.86826438716279,-2.79373815685006,-2.00235741639362,Q86XK7
GPSM3,2.86744150145016,2.7925688015212,1.99858537962838,Q9Y4H4
MUC6,2.86698179090328,2.78758991706448,1.99806722958215,Q6W4X9
KLF2,2.85262632240757,2.77528600094089,1.98818756942244,Q9Y5W3
TTPA,-2.85241569101257,2.77491140313777,1.98318259792686,P49638
ITGB4,2.85226423680718,2.77456511793372,1.98284365811363,P16144
HOXB5,2.85221884445403,2.77046222970782,1.98248389334984,P09067
STMN2,2.84664301823545,-2.76591154816887,1.97481584696966,Q93045
PLXNB3,2.84371552956205,2.76559460752876,1.97373096972861,Q9ULL4
KLHL7,-2.83929497880823,2.76452841777766,1.97288836080445,Q8IXQ5
BHLHE41,2.83067438806681,2.75917684649482,1.96879010243169,Q9C0J9
PDXDC1,2.82987224026482,2.75844503817581,-1.961148008503,Q6P996
ANKDD1A,-2.82832349267724,-2.75032306642111,-1.96041730117777,Q495B1
CTBP2,2.82686500586324,-2.74568188616824,-1.95679907992971,P56545
CYP20A1,-2.81228124150913,-2.73080714685644,-1.94760928302294,Q6UW02
EPHB3,2.81070312594218,2.72258256701857,1.94189803525755,P54753
CRABP2,2.80647685751024,2.71125020461551,1.93747658549567,P29373
NAA20,-2.80611398249143,2.71073700791774,1.93671313953436,P61599
CTNNA1,2.80576485309989,2.7096698193938,-1.93565736213309,P35221
PM20D2,-2.80490541794648,2.70677627446388,-1.93199184939304,Q8IYS1
ZG16B,2.80400778147403,-2.7019360912787,1.93135576903318,Q96DA0
VPS37B,2.8033162802222,2.70160590439706,-1.9310380788572,Q9H9H4
RNF145,2.80130494675805,-2.69940606494766,-1.92551118374282,Q96MT1
ZSCAN31,-2.78745106116134,-2.68823190851736,-1.92332186868736,Q96LW9
EZR,2.77567743425143,-2.68145866488115,-1.91666689631051,P15311
ZNF530,-2.77330161333576,2.68056870104531,-1.91329017714395,Q6P9A1
SMO,-2.7593685154922,2.6678523041975,1.90659879376557,Q99835
REG1A,2.75199548724429,2.66323666943796,1.90320048831676,P05451
MPG,2.74729688822889,-2.66168028937185,1.90264513212043,P29372
KIF26B,2.74660183883957,2.65749278498975,1.90187474219378,Q2KJY2
NFS1,-2.74117814833942,2.65413667323,-1.89825006085097,Q9Y697
TMEM52,-2.73632470720231,2.65259753911955,1.8906964056606,Q8NDY8
MOCS3,-2.73332236291724,2.65075130917662,1.88665579719824,O95396
PFKP,2.73114944873398,-2.64349502512108,1.88160274871253,Q01813
DAP,2.73078975798634,2.6427937006769,-1.87912171269232,P51397
CA9,2.72407181009345,2.63697937094252,1.87459720119787,Q16790
SGPP2,2.71406682626992,-2.62571888980781,1.86957470451979,Q8IWX5
GABRR1,-2.71228598690536,2.62244140685514,-1.86890457154652,P24046
COG7,2.70824115377603,2.6136715070557,1.86754086533345,P83436
PKM,2.70015768172843,2.61130780133809,-1.8642166746151,P14618
WFS1,2.68616895264716,-2.58915189360034,1.84985277898343,O76024
NPDC1,2.6845191203553,2.5884791919509,1.84982352430229,Q9NQX5
IFT140,2.67532878988691,-2.57864824845574,1.84200284727032,Q96RY7
ARSD,2.67379300467506,2.5765220912333,1.84200167345808,P51689
CXCL5,2.65441058915477,2.57187543145679,1.83457751615185,P42830
SNRPB2,-2.65328745628194,2.56559210048328,1.83142442015423,P08579
STAG2,-2.64639714871543,2.5622307129823,-1.82794853878881,Q8N3U4
HUS1,-2.6434701813015,2.54677045128028,1.82705409172959,O60921
SFXN3,2.6424262038876,2.54613213455291,-1.82573490936049,Q9BWM7
SPINK4,2.64211460901765,-2.54347143833355,1.82528472271012,O60575
PIWIL2,-2.64211070189199,2.54338672007518,1.82287913027451,Q8TC59
FANK1,2.63846065804146,2.53499705533889,-1.81661907227478,Q8TC84
KBTBD6,-2.63567920130816,2.52890201554319,1.812309302085,Q86V97
SPRED1,2.63163124789229,-2.52045828765836,1.81017757172675,Q7Z699
CLDN2,2.6297056157184,2.52031756868917,1.80735067221961,P57739
MAP4K2,-2.62846707747597,2.51532547082917,1.80663381986756,Q12851
INF2,2.62649922523841,2.50371919161922,1.80519449675343,Q27J81
NECAB3,-2.62464558592414,2.50305741693983,1.80308174889457,Q96P71
SLC16A3,2.62278903831569,2.5011175340006,1.80204214767989,O15427
CKLF,2.62084945801853,2.49882158938922,1.80100614657635,Q9UBR5
BIN3,2.62028322672554,-2.49652477216542,-1.80074541101545,Q9NQY0
RSPH1,2.61854821544121,2.49407938301072,1.7994209420745,Q8WYR4
TRADD,2.61813939262854,-2.49341468603625,1.79661049929831,Q15628
NBEAL2,2.61354736756528,-2.4879015450526,-1.79008044766078,Q6ZNJ1
TRIM54,2.61273660389344,-2.48756995970186,1.78695323822863,Q9BYV2
NBL1,2.60670035390965,-2.47575929473407,1.78135064982576,P41271
TBXAS1,2.60300281173467,2.47379010366599,-1.77629399462618,P24557
BST2,2.6005966530533,2.47298475089666,1.77254056874316,Q10589
MSLN,2.59833305384383,2.47247042964494,1.77222650742375,Q13421
TMEM38B,-2.59536363682469,2.46295655440843,1.76762500192583,Q9NVV0
LYRM2,-2.5850063307382,-2.44877307105868,1.75792217170999,Q9NU23
KIF19,2.58348643704163,-2.44835480203257,1.75748682342805,Q2TAC6
SLC12A2,2.58251343444586,2.44594372824428,1.75685498635421,P55011
