Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-556833,"Metabolism of lipids",2,765,0.0631657171166708,0.5155871019140214,0.5155871019140214,10,868,0.056068729410244815,9606,Homo sapiens,"Q8NF37;P84077","Q8NF37;P84077","R-HSA-1676152;R-HSA-1675883;R-HSA-1482533;R-HSA-8870499;R-HSA-8873923;R-HSA-1482547;R-HSA-75885;R-HSA-8873834;R-HSA-1482635;R-HSA-1482539"
R-HSA-162582,"Signal Transduction",6,2614,0.2158368425398398,0.5430221889000784,0.5430221889000784,38,2576,0.1663975195400814,9606,Homo sapiens,"Q00587;Q07065;P35221;Q9UQB8;P68371;Q07960","Q00587;Q07065;P35221;Q9UQB8;P68371;Q07960","R-HSA-2029469;R-HSA-2029466;R-HSA-2029465;R-HSA-8981637;R-HSA-9013145;R-HSA-9013144;R-HSA-9693125;R-HSA-9013022;R-HSA-9013009;R-HSA-9017488;R-HSA-9696266;R-HSA-5610767;R-HSA-2197690;R-HSA-9693198;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-5672329;R-HSA-9013161;R-HSA-5672304;R-HSA-442592;R-HSA-9013024;R-HSA-9017507;R-HSA-9014434;R-HSA-9013157;R-HSA-5666169;R-HSA-9018745;R-HSA-9693282;R-HSA-9018808;R-HSA-2130194;R-HSA-9018746;R-HSA-5357477;R-HSA-9013437;R-HSA-9014449;R-HSA-5610733;R-HSA-9013111;R-HSA-9018806;R-HSA-9013110"
R-HSA-1280215,"Cytokine Signaling in Immune system",2,805,0.06646849971100652,0.5437250978095848,0.5437250978095848,2,806,0.0520638201666559,9606,Homo sapiens,"P84077;P68371","P84077;P68371","R-HSA-9836404;R-HSA-8950173"
R-HSA-983169,"Class I MHC mediated antigen processing & presentation",1,378,0.03121129551647263,0.5751997177526388,0.5751997177526388,1,51,0.0032943608294037853,9606,Homo sapiens,"P61619","P61619","R-HSA-1236947"
R-HSA-68886,"M Phase",1,380,0.031376434646189416,0.5771504937447468,0.5771504937447468,12,96,0.006201149796524772,9606,Homo sapiens,"P68371","P68371","R-HSA-9648114;R-HSA-9648017;R-HSA-375302;R-HSA-2467809;R-HSA-2467811;R-HSA-1638803;R-HSA-9668419;R-HSA-2484822;R-HSA-380316;R-HSA-380508;R-HSA-2468287;R-HSA-1638821"
R-HSA-112316,"Neuronal System",1,419,0.034596647675666746,0.6135105272945494,0.6135105272945494,3,216,0.013952587042180737,9606,Homo sapiens,"P68371","P68371","R-HSA-9610627;R-HSA-9619542;R-HSA-9610408"
R-HSA-449147,"Signaling by Interleukins",1,458,0.03781686070514408,0.6468501364793995,0.6468501364793995,1,505,0.032620631742135524,9606,Homo sapiens,"P84077","P84077","R-HSA-8950173"
R-HSA-9679506,"SARS-CoV Infections",1,513,0.042358186772355706,0.6891980695522055,0.6891980695522055,1,397,0.025644338221045154,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068"
R-HSA-69278,"Cell Cycle, Mitotic",1,528,0.043596730245231606,0.6998706900102749,0.6998706900102749,27,367,0.02370647890963116,9606,Homo sapiens,"P68371","P68371","R-HSA-9648017;R-HSA-375302;R-HSA-380294;R-HSA-2467809;R-HSA-2467811;R-HSA-1638803;R-HSA-380303;R-HSA-8852298;R-HSA-9668419;R-HSA-3000319;R-HSA-380311;R-HSA-8852306;R-HSA-380316;R-HSA-380508;R-HSA-2468287;R-HSA-2574845;R-HSA-8853405;R-HSA-3000310;R-HSA-2574840;R-HSA-9648114;R-HSA-380455;R-HSA-8853419;R-HSA-2484822;R-HSA-380272;R-HSA-1638821;R-HSA-380283;R-HSA-8852280"
R-HSA-1640170,"Cell Cycle",1,665,0.05490876063083148,0.7823338423528257,0.7823338423528257,27,474,0.030618177120341063,9606,Homo sapiens,"P68371","P68371","R-HSA-9648017;R-HSA-375302;R-HSA-380294;R-HSA-2467809;R-HSA-2467811;R-HSA-1638803;R-HSA-380303;R-HSA-8852298;R-HSA-9668419;R-HSA-3000319;R-HSA-380311;R-HSA-8852306;R-HSA-380316;R-HSA-380508;R-HSA-2468287;R-HSA-2574845;R-HSA-8853405;R-HSA-3000310;R-HSA-2574840;R-HSA-9648114;R-HSA-380455;R-HSA-8853419;R-HSA-2484822;R-HSA-380272;R-HSA-1638821;R-HSA-380283;R-HSA-8852280"
