,seed_kras,seed_nras,seed_hras
RP11-78A19.3,3.03091041853463,-2.92595894588876,-2.13054777605338
ARID3A,-3.02593453015592,2.92544327115115,2.13012451225087
RP11-164N20.2,3.02568871867904,2.92412115163977,2.12930689840355
PHC2,3.02463994765269,2.92379801879969,-2.12862165928011
RP5-956O18.3,3.01992037297159,2.92089647576945,2.12714581642498
RP11-109P14.10,3.01389607593328,2.91957206059604,-2.12656149070762
RP11-77K12.3,-3.01196339553717,-2.91954834377081,2.1264749174389
MIR4260,3.00620817909132,2.91652655265894,2.12431672671655
KB-1247B1.1,-3.00530595964465,2.91650203333988,2.11370452832251
SLC27A1,2.99945464655451,2.91459093835967,2.1116926620257
RP11-96D1.9,-2.99356463637682,2.91383212786325,2.10898704028334
RP11-597K23.2,2.99012510346843,2.91240726894112,2.1072565551936
RP11-807H22.5,-2.98175982493457,2.9120980908786,2.10068798128957
RP11-75C9.1,-2.97878811632679,2.90642412969074,2.09819871487291
LINC00454,2.97802822971787,2.90515161148471,2.09477909397138
RP1-213J1P__B.1,-2.97619664164411,2.9040583849096,2.08977502703939
OSBPL7,2.97376135552705,2.90097664837453,-2.08952405400537
AP006748.1,2.96253213264933,2.90087228673841,2.08404917324473
AC000095.9,2.95574714632122,2.89822145626269,2.08213684544948
CDS2,-2.95242011385472,2.89654512368995,2.08203056972329
KB-1562D12.2,-2.95171739867386,2.89315854811463,2.08001114960641
AC068137.13,2.94555338176196,-2.88938258146668,-2.07983481227654
SLC37A1,2.94472067987261,-2.88075153914577,2.07600424255887
ANKRD49,-2.94331101205681,2.86882199467538,-2.07592870604769
PLA2G12B,-2.94214292909869,2.86624248474983,-2.07496433465263
MVP,2.94065487990014,2.86570347021613,2.06390199375947
RP11-14K3.4,2.93901089402984,2.86554399505349,2.06323078426409
RP11-63M22.2,2.93641038080557,-2.86262958449891,2.06248101709564
CSE1L,-2.92742317388509,2.86032053959617,2.05790125134276
FHL2,2.9263252359646,2.85212475344906,-2.05681978629628
RP11-379K17.12,2.91952284483956,2.8463552189009,2.05410599642516
OTOP2,-2.91829638421355,2.83985978709105,-2.05379755212875
CXorf27,-2.91581597663567,2.83474286669683,2.05228991450593
MRPL49,-2.89806711732309,2.82779363556193,2.05125762305179
GALNT7,2.89742753086634,-2.82576340545876,-2.04821272371402
RP11-138I1.4,2.89633755674299,2.82340044508302,-2.04299215682787
ITGA3,2.89394101432064,-2.82212778143605,2.03768841081547
TMEM63A,2.88767277456343,2.82121985492302,2.03216219141532
RP11-1094M14.11,-2.88429755632967,2.81800760146033,-2.0277939911051
SBNO2,2.88132946475616,2.81199057221683,2.01806989895918
RP5-1157M23.2,-2.8798196564283,-2.81105218600119,2.01744575942566
UCN3,2.8757160525079,2.80733605164919,-2.01018572790663
CFL2,-2.87302079155253,2.80710887705717,2.01018474367361
STYK1,2.87244542302545,-2.80348753263857,2.00409013205798
TAAR1,2.87134044433102,-2.80287740117262,2.00327090977648
VSIG1,2.86826438716279,-2.79373815685006,-2.00235741639362
GPSM3,2.86744150145016,2.7925688015212,1.99858537962838
MUC6,2.86698179090328,2.78758991706448,1.99806722958215
