Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2990846,"SUMOylation",3,181,0.01494509123936917,0.3118133855297891,0.3118133855297891,13,141,0.009107938763645759,9606,Homo sapiens,"P04637;P57740;Q5SRE5","P04637;P57740;Q5SRE5","R-HSA-5228525;R-HSA-3000399;R-HSA-5228523;R-HSA-4551649;R-HSA-4615872;R-HSA-2997706;R-HSA-3000348;R-HSA-5228508;R-HSA-4615987;R-HSA-3000411;R-HSA-4570493;R-HSA-4551679;R-HSA-4655355"
R-HSA-9609646,"HCMV Infection",4,262,0.02163322599289902,0.31520855211432053,0.31520855211432053,5,31,0.002002454621794458,9606,Homo sapiens,"P57740;Q5SRE5;P68371;Q9BQE3","P57740;Q5SRE5;P68371;Q9BQE3","R-HSA-9614369;R-HSA-9636128;R-HSA-9614343;R-HSA-9614367;R-HSA-9629004"
R-HSA-392518,"Signal amplification",1,35,0.002889934770043762,0.315543063759124,0.315543063759124,12,19,0.0012273108972288612,9606,Homo sapiens,"P62879","P62879","R-HSA-392195;R-HSA-428750;R-HSA-428909;R-HSA-428749;R-HSA-392202;R-HSA-428918;R-HSA-428917;R-HSA-418581;R-HSA-418579;R-HSA-428752;R-HSA-418576;R-HSA-392187"
R-HSA-1296065,"Inwardly rectifying K+ channels",1,35,0.002889934770043762,0.315543063759124,0.315543063759124,3,7,4.5216717266326466E-4,9606,Homo sapiens,"P62879","P62879","R-HSA-1013020;R-HSA-1013013;R-HSA-1013012"
R-HSA-5260271,"Diseases of Immune System",1,35,0.002889934770043762,0.315543063759124,0.315543063759124,1,14,9.043343453265293E-4,9606,Homo sapiens,"Q9H1C4","Q9H1C4","R-HSA-5607838"
R-HSA-5602358,"Diseases associated with the TLR signaling cascade",1,35,0.002889934770043762,0.315543063759124,0.315543063759124,1,14,9.043343453265293E-4,9606,Homo sapiens,"Q9H1C4","Q9H1C4","R-HSA-5607838"
R-HSA-8963899,"Plasma lipoprotein remodeling",1,35,0.002889934770043762,0.315543063759124,0.315543063759124,1,31,0.002002454621794458,9606,Homo sapiens,"P02768","P02768","R-HSA-264679"
R-HSA-9634815,"Transcriptional Regulation by NPAS4",1,35,0.002889934770043762,0.315543063759124,0.315543063759124,1,46,0.0029713842775014533,9606,Homo sapiens,"O14980","O14980","R-HSA-9769141"
R-HSA-76002,"Platelet activation, signaling and aggregation",4,265,0.021880934687474197,0.3225255283417343,0.3225255283417343,46,119,0.007686841935275499,9606,Homo sapiens,"P02768;P62879;P61224;P63104","P02768;P62879;P61224;P63104","R-HSA-443910;R-HSA-396996;R-HSA-397891;R-HSA-392195;R-HSA-443905;R-HSA-429441;R-HSA-428750;R-HSA-354060;R-HSA-354124;R-HSA-428749;R-HSA-396941;R-HSA-443402;R-HSA-397835;R-HSA-939265;R-HSA-392202;R-HSA-372693;R-HSA-418581;R-HSA-418579;R-HSA-428752;R-HSA-418576;R-HSA-354066;R-HSA-354077;R-HSA-372697;R-HSA-354073;R-HSA-354149;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-481007;R-HSA-377644;R-HSA-428909;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354165;R-HSA-428918;R-HSA-443831;R-HSA-428917;R-HSA-354097;R-HSA-354173;R-HSA-114552;R-HSA-430076;R-HSA-392187;R-HSA-430073;R-HSA-114558"
R-HSA-9687139,"Aberrant regulation of mitotic cell cycle due to RB1 defects",1,36,0.002972504334902155,0.32292820370552244,0.32292820370552244,1,3,1.9378593114139912E-4,9606,Homo sapiens,"Q13042","Q13042","R-HSA-9687377"
R-HSA-187687,"Signalling to ERKs",1,36,0.002972504334902155,0.32292820370552244,0.32292820370552244,8,32,0.002067049932174924,9606,Homo sapiens,"P31946","P31946","R-HSA-9610163;R-HSA-9612980;R-HSA-170965;R-HSA-9610154;R-HSA-9610152;R-HSA-9610153;R-HSA-9610156;R-HSA-169901"
R-HSA-156590,"Glutathione conjugation",1,37,0.0030550738997605483,0.3302342613702359,0.3302342613702359,1,12,7.751437245655965E-4,9606,Homo sapiens,"O14880","O14880","R-HSA-176059"
R-HSA-75105,"Fatty acyl-CoA biosynthesis",1,37,0.0030550738997605483,0.3302342613702359,0.3302342613702359,1,25,0.0016148827595116595,9606,Homo sapiens,"Q9P035","Q9P035","R-HSA-5676637"
R-HSA-8964043,"Plasma lipoprotein clearance",1,37,0.0030550738997605483,0.3302342613702359,0.3302342613702359,1,35,0.002260835863316323,9606,Homo sapiens,"Q0VD83","Q0VD83","R-HSA-8854408"
R-HSA-8950505,"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",1,37,0.0030550738997605483,0.3302342613702359,0.3302342613702359,1,36,0.00232543117369679,9606,Homo sapiens,"P61224","P61224","R-HSA-8950225"
R-HSA-5688426,"Deubiquitination",4,269,0.02221121294690777,0.33230151452454926,0.33230151452454926,5,77,0.004973838899295911,9606,Homo sapiens,"P04637;P45880;Q15025;P21796","P04637;P45880;Q15025;P21796","R-HSA-5689973;R-HSA-5689950;R-HSA-5690845;R-HSA-5690843;R-HSA-5696872"
R-HSA-194138,"Signaling by VEGF",2,110,0.009082652134423252,0.33400502675513666,0.33400502675513666,1,86,0.005555196692720109,9606,Homo sapiens,"P42345;Q9BVC4","P42345;Q9BVC4","R-HSA-198640"
R-HSA-6814122,"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",1,38,0.0031376434646189413,0.3374620771450876,0.3374620771450876,7,11,7.105484141851302E-4,9606,Homo sapiens,"P62879","P62879","R-HSA-6814119;R-HSA-6814418;R-HSA-8850560;R-HSA-8850527;R-HSA-6814124;R-HSA-6814121;R-HSA-6814120"
