Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-372708,"p130Cas linkage to MAPK signaling for integrins",1,15,0.0012385434728758979,0.029305482670623162,0.10348482680301918,3,3,1.9378593114139912E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-372693;R-HSA-372705;R-HSA-372697"
R-HSA-354194,"GRB2:SOS provides linkage to MAPK signaling for Integrins ",1,15,0.0012385434728758979,0.029305482670623162,0.10348482680301918,2,2,1.2919062076093276E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-354165;R-HSA-354087"
R-HSA-162592,"Integration of provirus",1,15,0.0012385434728758979,0.029305482670623162,0.10348482680301918,10,14,9.043343453265293E-4,9606,Homo sapiens,"O75531","O75531","R-HSA-175250;R-HSA-164514;R-HSA-8951690;R-HSA-175174;R-HSA-175108;R-HSA-164522;R-HSA-173115;R-HSA-162590;R-HSA-164845;R-HSA-175117"
R-HSA-166520,"Signaling by NTRKs",2,139,0.011477169515316655,0.03075706886854568,0.10348482680301918,7,164,0.010593630902396485,9606,Homo sapiens,"P12931","P12931-1;P12931","R-HSA-171011;R-HSA-9603445;R-HSA-9037040;R-HSA-9603419;R-HSA-170991;R-HSA-9603420;R-HSA-9603437"
R-HSA-139853,"Elevation of cytosolic Ca2+ levels",1,16,0.0013211130377342912,0.03122963388213107,0.10348482680301918,2,5,3.229765519023319E-4,9606,Homo sapiens,"Q13586","Q13586","R-HSA-434798;R-HSA-434700"
R-HSA-1433559,"Regulation of KIT signaling",1,16,0.0013211130377342912,0.03122963388213107,0.10348482680301918,3,8,5.16762483043731E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-205319;R-HSA-1433506;R-HSA-205244"
R-HSA-391160,"Signal regulatory protein family interactions",1,16,0.0013211130377342912,0.03122963388213107,0.10348482680301918,1,10,6.459531038046638E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-391156"
R-HSA-1295596,"Spry regulation of FGF signaling",1,16,0.0013211130377342912,0.03122963388213107,0.10348482680301918,1,11,7.105484141851302E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-1295609"
R-HSA-1834941,"STING mediated induction of host immune responses",1,16,0.0013211130377342912,0.03122963388213107,0.10348482680301918,1,19,0.0012273108972288612,9606,Homo sapiens,"P78527","P78527","R-HSA-1834939"
R-HSA-5663220,"RHO GTPases Activate Formins",2,141,0.01164230864503344,0.0315729836867743,0.10348482680301918,4,27,0.0017440733802725921,9606,Homo sapiens,"O14980;P12931","P12931-1;O14980","R-HSA-5666160;R-HSA-5666129;R-HSA-5666104;R-HSA-5666169"
