Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1266738,"Developmental Biology",4,1482,0.12236809512013871,0.17025644749543467,0.17025644749543467,48,979,0.06323880886247658,9606,Homo sapiens,"P29320;P98172;P29317;P52799","P29320;P98172;P29317;P52799","R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928623;R-HSA-3928610;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-3928594;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928597;R-HSA-4093329;R-HSA-4093327;R-HSA-3928584;R-HSA-3928591;R-HSA-3928588;R-HSA-3928578;R-HSA-3928583;R-HSA-3928580;R-HSA-3928657;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-3928646;R-HSA-3928645;R-HSA-3928644"
R-HSA-9770562,"mRNA Polyadenylation",1,128,0.01056890430187433,0.1740761765115605,0.1740761765115605,13,20,0.0012919062076093275,9606,Homo sapiens,"Q15365","Q15365","R-HSA-9970428;R-HSA-9970141;R-HSA-9970429;R-HSA-9970431;R-HSA-9970320;R-HSA-9970193;R-HSA-9970294;R-HSA-9970282;R-HSA-9970189;R-HSA-9970190;R-HSA-9970318;R-HSA-9970191;R-HSA-9970179"
R-HSA-1483206,"Glycerophospholipid biosynthesis",1,129,0.010651473866732722,0.1753159401806491,0.1753159401806491,7,125,0.008074413797558298,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-1482533;R-HSA-8873923;R-HSA-1482547;R-HSA-75885;R-HSA-8873834;R-HSA-1482635;R-HSA-1482539"
R-HSA-5576891,"Cardiac conduction",1,130,0.010734043431591116,0.17655394612665198,0.17655394612665198,2,33,0.0021316452425553904,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068;R-HSA-936897"
R-HSA-2132295,"MHC class II antigen presentation",1,130,0.010734043431591116,0.17655394612665198,0.17655394612665198,1,26,0.0016794780698921258,9606,Homo sapiens,"P47756","P47756","R-HSA-2213248"
R-HSA-1630316,"Glycosaminoglycan metabolism",1,136,0.011229460820741475,0.18394520077085819,0.18394520077085819,2,96,0.006201149796524772,9606,Homo sapiens,"Q99653","Q99653","R-HSA-2160884;R-HSA-2160892"
R-HSA-72187,"mRNA 3'-end processing",1,153,0.012633143423334159,0.20454830943844204,0.20454830943844204,13,21,0.001356501517989794,9606,Homo sapiens,"Q15365","Q15365","R-HSA-9970428;R-HSA-9970141;R-HSA-9970429;R-HSA-9970431;R-HSA-9970320;R-HSA-9970193;R-HSA-9970294;R-HSA-9970282;R-HSA-9970189;R-HSA-9970190;R-HSA-9970318;R-HSA-9970191;R-HSA-9970179"
R-HSA-199977,"ER to Golgi Anterograde Transport",1,156,0.012880852117909338,0.20813276461980712,0.20813276461980712,2,39,0.0025192171048381887,9606,Homo sapiens,"P47756","P47756","R-HSA-6809006;R-HSA-6809003"
R-HSA-983231,"Factors involved in megakaryocyte development and platelet production",1,160,0.013211130377342912,0.21288831300624744,0.21288831300624744,3,43,0.0027775983463600544,9606,Homo sapiens,"P47756","P47756","R-HSA-994169;R-HSA-994148;R-HSA-879459"
R-HSA-9679191,"Potential therapeutics for SARS",1,164,0.013541408636776484,0.2176168796342265,0.2176168796342265,1,36,0.00232543117369679,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068"
R-HSA-983712,"Ion channel transport",1,184,0.015192799933944349,0.24086000576558253,0.24086000576558253,2,51,0.0032943608294037853,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068;R-HSA-936897"
R-HSA-948021,"Transport to the Golgi and subsequent modification",1,187,0.015440508628519528,0.2442897058299266,0.2442897058299266,2,59,0.0038111233124475162,9606,Homo sapiens,"P47756","P47756","R-HSA-6809006;R-HSA-6809003"
R-HSA-72163,"mRNA Splicing - Major Pathway",1,204,0.01684419123111221,0.26344990317060346,0.26344990317060346,10,11,7.105484141851302E-4,9606,Homo sapiens,"Q15365","Q15365","R-HSA-9770132;R-HSA-9770119;R-HSA-9770129;R-HSA-9770145;R-HSA-9770131;R-HSA-9770141;R-HSA-9770236;R-HSA-9770847;R-HSA-9770142;R-HSA-9794542"
R-HSA-397014,"Muscle contraction",1,204,0.01684419123111221,0.26344990317060346,0.26344990317060346,2,53,0.003423551450164718,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068;R-HSA-936897"
R-HSA-72172,"mRNA Splicing",1,212,0.017504747749979357,0.27230684948552986,0.27230684948552986,10,16,0.001033524966087462,9606,Homo sapiens,"Q15365","Q15365","R-HSA-9770132;R-HSA-9770119;R-HSA-9770129;R-HSA-9770145;R-HSA-9770131;R-HSA-9770141;R-HSA-9770236;R-HSA-9770847;R-HSA-9770142;R-HSA-9794542"
R-HSA-1483257,"Phospholipid metabolism",1,212,0.017504747749979357,0.27230684948552986,0.27230684948552986,7,205,0.013242038627995608,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-1482533;R-HSA-8873923;R-HSA-1482547;R-HSA-75885;R-HSA-8873834;R-HSA-1482635;R-HSA-1482539"
R-HSA-425407,"SLC-mediated transmembrane transport",1,244,0.02014697382544794,0.30673881010609005,0.30673881010609005,1,193,0.01246689490343001,9606,Homo sapiens,"P55011","P55011","R-HSA-426086"
R-HSA-9918481,"Dengue Virus-Host Interactions",1,261,0.021550656428040625,0.32439908063710277,0.32439908063710277,1,59,0.0038111233124475162,9606,Homo sapiens,"Q15365","Q15365","R-HSA-9921507"
R-HSA-5688426,"Deubiquitination",1,269,0.02221121294690777,0.33256197250895136,0.33256197250895136,1,77,0.004973838899295911,9606,Homo sapiens,"Q15025","Q15025","R-HSA-5690845"
R-HSA-72203,"Processing of Capped Intron-Containing Pre-mRNA",1,298,0.02460573032780117,0.36137840959340917,0.36137840959340917,24,52,0.0033589561397842516,9606,Homo sapiens,"Q15365","Q15365","R-HSA-9770132;R-HSA-9770129;R-HSA-9970141;R-HSA-9770131;R-HSA-9770141;R-HSA-9970320;R-HSA-9970193;R-HSA-9770847;R-HSA-9770142;R-HSA-9770119;R-HSA-9970189;R-HSA-9970190;R-HSA-9970318;R-HSA-9970191;R-HSA-9970179;R-HSA-9970428;R-HSA-9970429;R-HSA-72103;R-HSA-9970431;R-HSA-9770236;R-HSA-9970294;R-HSA-9970282;R-HSA-9770145;R-HSA-9794542"
R-HSA-71387,"Metabolism of carbohydrates and carbohydrate derivatives",1,304,0.02510114771695153,0.36719184981398856,0.36719184981398856,2,237,0.015309088560170532,9606,Homo sapiens,"Q99653","Q99653","R-HSA-2160884;R-HSA-2160892"
R-HSA-446203,"Asparagine N-linked glycosylation",1,312,0.025761704235818677,0.3748653869646882,0.3748653869646882,2,136,0.008784962211743427,9606,Homo sapiens,"P47756","P47756","R-HSA-6809006;R-HSA-6809003"
R-HSA-9839923,"Dengue Virus Infection",1,372,0.03071587812732227,0.42967846206887716,0.42967846206887716,1,141,0.009107938763645759,9606,Homo sapiens,"Q15365","Q15365","R-HSA-9921507"
R-HSA-6798695,"Neutrophil degranulation",1,478,0.039468252002311945,0.5155923073636424,0.5155923073636424,1,10,6.459531038046638E-4,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-6798739"
R-HSA-9679506,"SARS-CoV Infections",1,513,0.042358186772355706,0.5411657749032015,0.5411657749032015,1,397,0.025644338221045154,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068"
R-HSA-162582,"Signal Transduction",4,2614,0.2158368425398398,0.5655845017487426,0.5655845017487426,14,2576,0.1663975195400814,9606,Homo sapiens,"Q00587;P29317;Q5VT25;P47756","Q00587;P29317;Q5VT25;P47756","R-HSA-9018794;R-HSA-9018766;R-HSA-9017507;R-HSA-9013157;R-HSA-9013145;R-HSA-9018808;R-HSA-9018746;R-HSA-9693125;R-HSA-9014449;R-HSA-9696266;R-HSA-9696271;R-HSA-9693198;R-HSA-9014294;R-HSA-9696268"
R-HSA-9824446,"Viral Infection Pathways",2,1282,0.10585418214846008,0.5821449189314198,0.5821449189314198,2,887,0.05729604030747368,9606,Homo sapiens,"P05023;Q15365","P05023;Q15365","R-HSA-9921507;R-HSA-9684068"
R-HSA-9709957,"Sensory Perception",1,641,0.05292709107423004,0.6242478728012202,0.6242478728012202,1,131,0.008461985659841095,9606,Homo sapiens,"P47756","P47756","R-HSA-9659380"
R-HSA-597592,"Post-translational protein modification",2,1483,0.12245066468499712,0.6654961568795486,0.6654961568795486,3,594,0.03836961436599703,9606,Homo sapiens,"Q15025;P47756","Q15025;P47756","R-HSA-6809006;R-HSA-5690845;R-HSA-6809003"
R-HSA-109582,"Hemostasis",1,727,0.06002807365205185,0.6718534119094554,0.6718534119094554,3,342,0.0220915961501195,9606,Homo sapiens,"P47756","P47756","R-HSA-994169;R-HSA-994148;R-HSA-879459"
R-HSA-8953854,"Metabolism of RNA",1,747,0.06167946494921972,0.6820769790038965,0.6820769790038965,24,244,0.015761255732833795,9606,Homo sapiens,"Q15365","Q15365","R-HSA-9770132;R-HSA-9770129;R-HSA-9970141;R-HSA-9770131;R-HSA-9770141;R-HSA-9970320;R-HSA-9970193;R-HSA-9770847;R-HSA-9770142;R-HSA-9770119;R-HSA-9970189;R-HSA-9970190;R-HSA-9970318;R-HSA-9970191;R-HSA-9970179;R-HSA-9970428;R-HSA-9970429;R-HSA-72103;R-HSA-9970431;R-HSA-9770236;R-HSA-9970294;R-HSA-9970282;R-HSA-9770145;R-HSA-9794542"
R-HSA-556833,"Metabolism of lipids",1,765,0.0631657171166708,0.6910202967205976,0.6910202967205976,7,868,0.056068729410244815,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-1482533;R-HSA-8873923;R-HSA-1482547;R-HSA-75885;R-HSA-8873834;R-HSA-1482635;R-HSA-1482539"
R-HSA-2262752,"Cellular responses to stress",1,777,0.06415655189497152,0.6968499283906108,0.6968499283906108,1,513,0.03313739422517925,9606,Homo sapiens,"P47756","P47756","R-HSA-5618080"
R-HSA-8953897,"Cellular responses to stimuli",1,888,0.07332177359425315,0.7460657635462247,0.7460657635462247,1,605,0.03908016278018216,9606,Homo sapiens,"P47756","P47756","R-HSA-5618080"
R-HSA-5663205,"Infectious disease",2,1729,0.14276277764016185,0.750179946347752,0.750179946347752,2,1201,0.07757896776694012,9606,Homo sapiens,"P05023;Q15365","P05023;Q15365","R-HSA-9921507;R-HSA-9684068"
R-HSA-1280218,"Adaptive Immune System",1,991,0.08182643877466765,0.7848971839328344,0.7848971839328344,1,324,0.020928880563271107,9606,Homo sapiens,"P47756","P47756","R-HSA-2213248"
R-HSA-168249,"Innate Immune System",1,1201,0.09916604739493023,0.8473821130657662,0.8473821130657662,1,727,0.046960790646599054,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-6798739"
R-HSA-392499,"Metabolism of proteins",2,2113,0.1744694905457848,0.8476600364638635,0.8476600364638635,3,912,0.05891092306698534,9606,Homo sapiens,"Q15025;P47756","Q15025;P47756","R-HSA-6809006;R-HSA-5690845;R-HSA-6809003"
R-HSA-1430728,"Metabolism",2,2216,0.18297415572619932,0.8675934208810612,0.8675934208810612,9,2135,0.13791098766229573,9606,Homo sapiens,"Q8NF37;Q99653","Q8NF37;Q99653","R-HSA-1482533;R-HSA-8873923;R-HSA-2160884;R-HSA-1482547;R-HSA-75885;R-HSA-2160892;R-HSA-8873834;R-HSA-1482635;R-HSA-1482539"
R-HSA-168256,"Immune System",2,2330,0.19238708612005614,0.8870354334572621,0.8870354334572621,2,1786,0.11536722433951295,9606,Homo sapiens,"Q8NF37;P47756","Q8NF37;P47756","R-HSA-2213248;R-HSA-6798739"
R-HSA-1643685,"Disease",2,2575,0.21261662951036248,0.9206970993354588,0.9206970993354588,2,2137,0.13804017828305665,9606,Homo sapiens,"P05023;Q15365","P05023;Q15365","R-HSA-9921507;R-HSA-9684068"
